,City,Lattitutde,Longitude,Country,Date,Humidity,Cloudiness,Max Temp,Wind Speed
374,Karaman,37.18,33.22,TR,1577674184,99,100,34.03,3.98
375,Siuna,13.73,-84.78,NI,1577674186,97,100,71.64,2.13
376,Khudumelapye,-23.91,24.95,BW,1577674188,56,100,73.44,9.64
377,Pochutla,15.74,-96.47,MX,1577674189,78,20,80.6,9.17
378,Bambous Virieux,-20.34,57.76,MU,1577674190,100,75,77.0,26.4
379,Ponnampet,12.15,75.93,IN,1577674192,94,40,75.2,4.7
380,Polillo,15.46,120.92,PH,1577674193,66,75,84.2,4.7
381,Sur,22.57,59.53,OM,1577674194,80,0,67.37,1.23
382,Bintulu,3.17,113.03,MY,1577674195,100,75,77.0,5.82
383,Muisne,0.61,-80.02,EC,1577674197,86,100,76.42,9.1
384,Martapura,-3.41,114.85,ID,1577674198,60,9,89.49,3.42
385,Tamandare,-8.28,-70.75,BR,1577674200,99,100,72.41,0.38
386,Chiplun,17.53,73.52,IN,1577673907,72,47,74.48,0.4
387,San Quintin,17.54,120.52,PH,1577674187,55,0,82.81,4.18
388,Neryungri,56.66,124.71,RU,1577674204,97,100,-22.9,7.58
389,Labuhan,-2.54,115.51,ID,1577674205,61,97,88.34,3.38
390,Dalbandin,28.9,64.41,PK,1577674206,43,0,49.3,3.76
391,Guadalajara,40.63,-3.16,ES,1577674208,92,0,44.01,5.82
392,Fort Nelson,58.81,-122.69,CA,1577674209,76,75,-4.0,0.49
393,Goiatuba,-18.02,-49.36,BR,1577674210,85,15,71.01,2.51
394,Tuatapere,-46.13,167.69,NZ,1577674212,78,57,57.99,17.0
395,Isla Vista,34.41,-119.86,US,1577674213,81,40,55.4,5.66
396,Roald,62.58,6.12,NO,1577674199,76,100,48.2,31.09
397,Nachingwea,-10.37,38.76,TZ,1577674215,98,99,70.57,3.13
398,Oxford,33.61,-85.83,US,1577674118,88,90,72.0,11.41
399,Kavieng,-2.57,150.8,PG,1577674218,74,39,84.4,13.38
400,Ostrovnoy,68.05,39.51,RU,1577674219,94,100,33.55,13.6
401,Mizdah,31.45,12.98,LY,1577674221,86,18,39.09,7.31
402,The Valley,18.22,-63.06,AI,1577673942,94,75,78.01,13.87
403,Cabo San Lucas,22.89,-109.91,MX,1577674223,68,5,66.0,3.36
404,Malatya,38.35,38.32,TR,1577674224,93,90,41.0,4.7
405,Waddan,29.16,16.14,LY,1577674226,76,0,41.94,8.08
406,Ulladulla,-35.36,150.48,AU,1577674227,38,5,102.0,8.05
407,Tabuk,17.41,121.44,PH,1577674228,69,0,80.74,5.32
408,Vung Tau,10.35,107.08,VN,1577674230,56,0,84.92,5.7
409,Havelock,34.88,-76.9,US,1577674058,77,90,87.8,9.17
410,Ignacio de la Llave,18.73,-95.98,MX,1577674232,94,40,73.4,2.59
411,Surt,31.21,16.59,LY,1577674234,71,94,50.09,8.68
412,Nhulunbuy,-12.18,136.78,AU,1577674235,49,90,93.2,10.29
413,Sembakung,3.82,117.25,ID,1577674236,94,75,80.6,2.24
414,Kiama,-34.67,150.86,AU,1577674237,38,33,99.0,8.05
415,Hay River,60.82,-115.79,CA,1577674239,75,75,-14.8,8.23
416,Kingaroy,-26.54,151.84,AU,1577674241,30,82,93.99,10.29
417,Northam,-31.65,116.67,AU,1577674242,33,0,73.4,12.75
418,Katsuura,33.93,134.5,JP,1577674243,93,75,52.0,6.93
419,Narovchat,53.88,43.7,RU,1577674245,94,50,13.51,5.03
420,Rawson,-43.3,-65.11,AR,1577674246,69,67,63.57,2.8
421,Baykit,61.68,96.39,RU,1577674247,98,84,-22.81,2.39
422,Kilindoni,-7.91,39.67,TZ,1577674250,81,100,82.36,19.77
423,Zaozerne,51.37,23.94,UA,1577674251,80,100,26.83,9.4
424,Gerash,27.67,54.14,IR,1577674253,86,0,41.0,1.34
425,Aklavik,68.22,-135.01,CA,1577674254,75,90,-16.6,8.05
426,Mabaruma,8.2,-59.78,GY,1577674255,98,42,69.82,1.81
427,Horn,48.66,15.66,AT,1577674257,85,22,27.0,5.82
428,Uxbridge,44.11,-79.13,CA,1577674258,93,90,34.0,10.29
429,Rincon,8.46,-82.28,PA,1577674260,78,100,68.0,1.01
430,Safonovo,55.11,33.24,RU,1577674261,85,100,23.18,11.05
431,Ugoofaaru,5.67,73.0,MV,1577674263,78,100,81.64,16.42
432,Gamba,28.28,88.52,CN,1577674237,11,45,17.04,1.72
433,Sarangani,5.4,125.46,PH,1577674265,76,100,81.79,25.95
434,Russell,38.9,-98.86,US,1577674266,69,90,34.0,21.92
435,Sitka,37.17,-99.65,US,1577674268,75,26,32.0,8.99
436,Klaksvik,62.23,-6.59,FO,1577674270,81,82,46.4,25.28
437,Yulara,-25.24,130.99,AU,1577674180,25,0,98.6,12.75
438,Krasnovka,48.37,40.26,RU,1577674272,86,100,32.0,3.89
439,Ambilobe,-13.19,49.05,MG,1577674273,92,100,75.69,4.32
440,Henties Bay,-22.12,14.28,NA,1577674275,93,95,61.0,1.01
441,Ravar,31.27,56.81,IR,1577674276,50,0,42.85,2.28
442,Vinh,18.67,105.69,VN,1577674277,82,78,70.3,3.47
443,Paragominas,-3.0,-47.35,BR,1577674279,97,100,73.89,3.13
444,Port-Gentil,-0.72,8.78,GA,1577674280,78,100,82.18,9.71
445,Doctor Cecilio Baez,-25.05,-56.32,PY,1577674281,67,14,80.19,3.06
446,Lat Yao,15.75,99.79,TH,1577674283,46,0,81.77,5.5
447,Saint-Joseph,43.56,6.97,FR,1577674284,87,90,46.0,4.7
448,Homer,59.64,-151.54,US,1577674285,80,90,39.2,8.05
449,Anadyr,64.73,177.51,RU,1577674287,74,40,-25.01,13.42
450,Pimentel,-3.7,-45.5,BR,1577674288,94,100,75.43,1.86
451,Rabaul,-4.2,152.17,PG,1577674290,71,0,84.33,6.26
452,Fortuna,40.6,-124.16,US,1577674181,100,90,48.0,3.36
453,Kiunga,-6.12,141.3,PG,1577674293,61,2,89.44,3.36
454,Virginia Beach,36.85,-75.98,US,1577674294,100,75,64.99,10.29
455,Qandala,11.47,49.87,SO,1577674295,86,0,74.48,3.89
456,Farafangana,-22.82,47.83,MG,1577674296,64,0,80.8,7.72
457,Zakamensk,50.38,103.29,RU,1577674298,80,0,-19.8,3.09
458,Makakilo City,21.35,-158.09,US,1577674193,69,20,82.4,12.75
459,Sungaipenuh,-2.08,101.38,ID,1577674078,78,73,74.52,2.42
460,Itarema,-2.92,-39.92,BR,1577674302,81,100,77.47,3.85
461,Monterey,36.6,-121.89,US,1577674160,100,90,53.01,13.27
462,Tilichiki,60.47,166.1,RU,1577674305,66,0,-10.61,8.05
463,Launceston,-41.43,147.14,AU,1577674210,23,30,93.2,23.04
464,Srednekolymsk,67.46,153.71,RU,1577674308,93,0,-34.1,2.06
465,Zapolyarnyy,69.43,30.82,RU,1577674309,100,90,28.4,2.24
466,Ibipeba,-11.64,-42.01,BR,1577674304,76,96,69.3,8.08
467,Kardla,58.44,26.57,EE,1577674312,93,100,37.0,18.34
468,Grand Gaube,-20.01,57.66,MU,1577674313,100,75,77.0,26.4
469,Huarmey,-10.07,-78.15,PE,1577674315,84,61,67.62,2.35
470,Pitimbu,-7.47,-34.81,BR,1577674316,78,20,78.8,9.17
471,Larsnes,62.2,5.58,NO,1577674317,76,100,48.2,31.09
472,Berezovyy,51.67,135.7,RU,1577674319,71,100,-4.04,1.92
473,Forest,32.36,-89.47,US,1577674320,81,75,60.8,3.36
474,Grand-Santi,4.27,-54.38,GF,1577674321,99,43,70.77,1.39
475,Zheleznodorozhnyy,55.75,38.0,RU,1577674323,86,90,27.0,11.18
476,Mananjary,-19.16,46.8,MG,1577674324,96,65,63.01,4.74
477,Abha,18.22,42.5,SA,1577674326,66,98,51.8,8.05
478,Nouadhibou,20.93,-17.03,MR,1577674327,39,100,66.2,13.87
479,Khrebtovaya,56.71,104.25,RU,1577674328,73,100,-8.0,7.29
480,Hobyo,5.35,48.53,SO,1577674187,84,12,75.9,9.93
481,Komsomolskiy,67.55,63.78,RU,1577674187,92,100,10.85,23.76
482,Ternate,14.29,120.72,PH,1577674333,66,20,87.01,8.05
483,Episkopi,34.67,32.9,CY,1577674335,67,40,62.6,19.46
484,Nebolchi,59.12,33.35,RU,1577674336,93,100,25.75,15.3
485,Motril,36.75,-3.52,ES,1577674337,78,1,45.0,15.79
486,Aquidauana,-20.47,-55.78,BR,1577674338,72,90,79.29,2.93
487,Pueblo Nuevo,-32.93,-68.73,AR,1577674340,42,98,84.2,10.29
488,Darnah,32.77,22.64,LY,1577674341,66,57,55.85,25.66
489,Kipini,-2.53,40.53,KE,1577674343,88,1,78.8,8.61
490,Cooma,-36.24,149.13,AU,1577674344,10,57,91.4,23.04
491,Qinzhou,21.96,108.62,CN,1577674345,55,73,72.97,4.81
492,Umea,63.83,20.26,SE,1577674347,86,100,39.2,12.75
493,Carutapera,-1.2,-46.02,BR,1577674348,79,97,82.17,15.86
494,Laela,-8.57,32.05,TZ,1577674350,94,100,61.81,2.06
